url,Length,HTTPS,Dots,Hyphens,Subdomains,IP?,Query Length,Login Keyword,Brand Spoofed,label
https://linkedin.com/dashboard,30,1,1,0,0,0,0,0,0,Safe
http://amaz0n.com/signin?id=640,31,0,1,0,0,0,7,0,1,Phishing
http://paypa1.com/login,23,0,1,0,0,0,0,1,1,Phishing
https://www.instagram.com/account,33,1,2,0,1,0,0,0,0,Safe
https://www.microsoft.com/verify,32,1,2,0,1,0,0,0,0,Safe
http://micr0soft.com/verify,27,0,1,0,0,0,0,1,1,Phishing
https://www.google.com/account,30,1,2,0,1,0,0,1,0,Suspicious
http://g00gle.com/dashboard?id=445,34,0,1,0,0,0,11,0,1,Phishing
http://lnkedln.com/account,26,0,1,0,0,0,0,0,1,Phishing
https://www.paypal.com/dashboard,32,1,2,0,1,0,0,0,0,Safe
http://paypa1.com/account,25,0,1,0,0,0,0,0,1,Phishing
https://paypal.com,18,1,1,0,0,0,0,0,0,Safe
http://flip-kart.com/dashboard?id=493,37,0,1,1,0,0,7,0,1,Phishing
http://g00gle.com/dashboard?id=169,34,0,1,0,0,0,13,1,1,Phishing
http://netfliix.com/account,27,0,1,0,0,0,0,0,1,Phishing
https://microsoft.com/verify,28,1,1,0,0,0,0,0,0,Safe
https://google.com/verify,25,1,1,0,0,0,0,0,0,Safe
http://facebok.com/verify,25,0,1,0,0,0,0,0,1,Phishing
https://www.linkedin.com/account,32,1,2,0,1,0,0,0,0,Safe
http://netfliix.com,19,0,1,0,0,0,0,0,1,Phishing
https://www.linkedin.com/account,32,1,2,0,1,0,0,0,0,Safe
http://instagrarn.com/dashboard?id=170,38,0,1,0,0,0,7,0,1,Phishing
http://paypa1.com/account,25,0,1,0,0,0,0,0,1,Phishing
https://www.instagram.com/reset,31,1,2,0,1,0,0,0,0,Safe
http://app1e.com/login?id=320,29,0,1,0,0,0,16,1,1,Phishing
http://app1e.com/reset?id=755,29,0,1,0,0,0,5,0,1,Phishing
http://app1e.com/account?id=606,31,0,1,0,0,0,7,0,1,Phishing
https://www.netflix.com/login,29,1,2,0,1,0,0,0,0,Safe
https://www.microsoft.com/account,33,1,2,0,1,0,0,1,0,Suspicious
https://linkedin.com/verify,27,1,1,0,0,0,0,1,0,Suspicious
https://apple.com/dashboard,27,1,1,0,0,0,0,0,0,Safe
https://apple.com,17,1,1,0,0,0,0,0,0,Safe
https://www.google.com/account,30,1,2,0,1,0,0,0,0,Safe
http://lnkedln.com/signin,25,0,1,0,0,0,0,1,1,Phishing
http://app1e.com/signin?id=605,30,0,1,0,0,0,5,1,1,Phishing
http://amaz0n.com/reset,23,0,1,0,0,0,0,0,1,Phishing
https://www.instagram.com/signin,32,1,2,0,1,0,0,0,0,Safe
https://www.facebook.com/reset,30,1,2,0,1,0,0,1,0,Suspicious
http://instagrarn.com/login,27,0,1,0,0,0,0,1,1,Phishing
https://amazon.com/login,24,1,1,0,0,0,0,0,0,Safe
https://www.apple.com/login,27,1,2,0,1,0,0,1,0,Suspicious
https://www.facebook.com/signin,31,1,2,0,1,0,0,1,0,Suspicious
http://app1e.com,16,0,1,0,0,0,0,0,1,Phishing
https://www.flipkart.com/signin,31,1,2,0,1,0,0,0,0,Safe
http://amaz0n.com/verify?id=468,31,0,1,0,0,0,9,0,1,Phishing
http://flip-kart.com/verify?id=173,34,0,1,1,0,0,15,0,1,Phishing
https://www.facebook.com/signin,31,1,2,0,1,0,0,0,0,Safe
http://instagrarn.com/reset,27,0,1,0,0,0,0,1,1,Phishing
http://netfliix.com/reset,25,0,1,0,0,0,0,0,1,Phishing
https://www.netflix.com/dashboard,33,1,2,0,1,0,0,0,0,Safe
https://www.netflix.com/reset,29,1,2,0,1,0,0,0,0,Safe
http://g00gle.com/login?id=577,30,0,1,0,0,0,8,1,1,Phishing
http://amaz0n.com/account,25,0,1,0,0,0,0,1,1,Phishing
http://paypa1.com/reset?id=425,30,0,1,0,0,0,19,0,1,Phishing
https://www.microsoft.com/account,33,1,2,0,1,0,0,0,0,Safe
http://app1e.com/login?id=137,29,0,1,0,0,0,16,0,1,Phishing
http://paypa1.com,17,0,1,0,0,0,0,0,1,Phishing
https://paypal.com/account,26,1,1,0,0,0,0,0,0,Safe
https://www.apple.com/login,27,1,2,0,1,0,0,0,0,Safe
http://micr0soft.com/reset?id=985,33,0,1,0,0,0,6,0,1,Phishing
http://g00gle.com/login?id=808,30,0,1,0,0,0,11,1,1,Phishing
